Subcatchment,Rain,Gage,Outlet,Area,%Imperv,Width,%Slope,N-Imperv,N-Perv,S-Imperv,S-Perv,PctZero,RouteTo,MaxRate,MinRate,Decay,DryTime,MaxInfil
15010,1,37251,17.31118229,28.3,2280,3.87,0,0.015,0.22,0.06,0.1,25,OUTLET,3.82,0.09,4.8,5,1.63
15020,1,15020b,133.0783728,15.1,6491,1.61,0,0.015,0.241,0.06,0.11,25,OUTLET,6,0.15,4.8,5,2.55
15030,1,15030b,127.8028617,11.8,6510,1.23,0,0.015,0.245,0.06,0.12,25,OUTLET,6.33,0.16,4.8,5,2.69
15040,1,15040b,66.40208872,11.9,4074,4.43,0,0.015,0.261,0.06,0.12,25,OUTLET,6.2,0.15,4.8,5,2.64
15050,1,15050b,123.4623456,12.4,1763,6.58,0,0.015,0.239,0.06,0.12,25,OUTLET,6.71,0.17,4.8,5,2.85
15060,1,15060b,24.94530606,17.7,1449,4.31,0,0.015,0.218,0.06,0.11,25,OUTLET,6.23,0.16,4.8,5,2.65
15070,1,15070b,219.5783582,10,7372,2.53,0,0.015,0.255,0.06,0.12,25,OUTLET,6.47,0.17,4.8,5,2.75
15080,1,15080b,197.9500593,7.8,3136,6.55,0,0.015,0.272,0.06,0.12,25,OUTLET,6.96,0.17,4.8,5,2.96
15090,1,15090b,122.7017642,15.1,7598,4.51,0,0.015,0.249,0.06,0.12,25,OUTLET,5.81,0.14,4.8,5,2.47
15100,1,15100b,118.4618564,8.8,2716,8.96,0,0.015,0.265,0.06,0.12,25,OUTLET,6.9,0.17,4.8,5,2.93
15110,1,15110b,63.84522906,20.8,4739,4.4,0,0.015,0.205,0.06,0.11,25,OUTLET,5.84,0.14,4.8,5,2.48
15120,1,15120b,23.90030611,11.9,2082,6.85,0,0.015,0.25,0.06,0.12,25,OUTLET,6.65,0.17,4.8,5,2.83
15140,1,15140b,90.81430105,14.4,1930,8.58,0,0.015,0.245,0.06,0.12,25,OUTLET,5.85,0.14,4.8,5,2.49
15150,1,15140b,75.42404702,9.2,1659,8.38,0,0.015,0.271,0.06,0.12,25,OUTLET,6.86,0.17,4.8,5,2.92
15160,1,15160b,29.36972489,11.8,1163,8.62,0,0.015,0.24,0.06,0.12,25,OUTLET,6.62,0.17,4.8,5,2.81
15170,1,15170b,44.23340106,8.8,1482,10.86,0,0.015,0.26,0.06,0.12,25,OUTLET,6.86,0.17,4.8,5,2.91
15180,1,15180b,8.150180543,21.2,1600,3.63,0,0.015,0.234,0.06,0.11,25,OUTLET,6.28,0.16,4.8,5,2.67
15190,1,15190b,145.0867982,10.9,1859,6.03,0,0.015,0.246,0.06,0.12,25,OUTLET,6.74,0.17,4.8,5,2.87
